PolicyNum,CustomerName,DOB,Gender,PAN,Mobile,Email,Insurer,PlanName,PolicyTerm,SumAssured,AnnualPrem,PolicyStart,PolicyEnd,NomineeName,NomineeRelation,City
LIPOL1000,Rahul Gupt,19901117,F,ALYSD361,91889262,suresh.josh,Tata AIG,Standard P,20,1000000,27005,20241028,20250108,Spouse,Spouse,CHENNAI
LIPOL1000,Vikas Kulka,19671016,F,XZWFE384,91753790,rohit.gupt,Bajaj Allian,Standard P,25,500000,25033,20211226,20270320,Spouse,Spouse,CHENNAI
LIPOL1000,Rohit Gupt,19710620,M,VTQVF188,91829163,kiran.kulka,HDFC Life,Standard P,15,1000000,16355,20241202,20350624,Spouse,Spouse,MUMBAI
LIPOL1000,Anil Desai,19930604,F,WBJTC154,91800620,anil.desai,SBI Life,Standard P,25,500000,32023,20220709,20270425,Spouse,Spouse,MUMBAI
LIPOL1000,Rohit Gupt,19880104,M,ASGAI634,91898527,anil.sharn,SBI Life,Standard P,30,500000,34917,20230606,20310813,Spouse,Spouse,PUNE
LIPOL1000,Anil Josh,19690609,F,PWXME21,91807078,rohit.josh,Bajaj Allian,Standard P,25,500000,12137,20240711,20340110,Spouse,Spouse,PUNE
LIPOL1000,Rohit Josh,19650201,F,XPAKJ362,91824152,amit.verm,SBI Life,Standard P,25,500000,22401,20240516,20250124,Spouse,Spouse,DELHI
LIPOL1000,Amit Verm,19730504,F,PUHDF259,91961378,amit.verm,SBI Life,Standard P,30,1000000,39174,20240606,20261230,Spouse,Spouse,DELHI
LIPOL1000,Rahul Josh,19990804,F,SMYSC589,91852260,rahul.josh,ICICI Lomb,Standard P,20,500000,36166,20220515,20271231,Spouse,Spouse,MUMBAI
LIPOL1000,Manoj Shar,19811006,F,PNHSU980,91934095,manoj.shar,Bajaj Allian,Standard P,10,2000000,31504,20240608,20320301,Spouse,Spouse,MUMBAI
LIPOL1000,Rohit Gupt,19601111,M,EIYOK619,91887259,prakash.sh,Bajaj Allian,Standard P,20,1000000,15788,20230211,20300328,Spouse,Spouse,BENGALURU
LIPOL1000,Prakash Sh,19600627,M,NIWNW596,91841581,kiran.kulka,HDFC Life,Standard P,15,500000,12086,20240403,20280428,Spouse,Spouse,BENGALURU
LIPOL1000,Kiran Kulka,19890912,M,BWMAU14,91811481,kiran.desai,ICICI Lomb,Standard P,15,500000,12318,20240223,20260530,Spouse,Spouse,HYDERABAD
LIPOL1000,Kiran Desai,19810226,M,XHVMT404,91741343,prakash.de,SBI Life,Standard P,30,1000000,37539,20240503,20310428,Spouse,Spouse,HYDERABAD
LIPOL1000,Prakash De,19910429,M,RYRVX925,91722523,anil.desai,SBI Life,Standard P,15,2000000,15826,20230412,20280508,Spouse,Spouse,MUMBAI
LIPOL1000,Anil Desai,19750405,M,EQBCQ955,91781971,suresh.gupt,Tata AIG,Standard P,30,1000000,10900,20220111,20350419,Spouse,Spouse,MUMBAI
LIPOL1000,Suresh Gup,19690222,M,PZCSL4406,91823298,amit.verm,SBI Life,Standard P,20,2000000,25361,20230412,20320604,Spouse,Spouse,MUMBAI
LIPOL1000,Rohit Verm,19700728,F,GWLWM41,91774218,rohit.verm,SBI Life,Standard P,10,1000000,18128,20230525,20340610,Spouse,Spouse,CHENNAI
LIPOL1000,Amit Verm,19680628,F,PJCQ126,91888823,vikas.patil,Bajaj Allian,Standard P,25,1000000,32283,20240209,20340116,Spouse,Spouse,CHENNAI
LIPOL1000,Vikas Patil,19830712,F,NPGR1898,91866841,kiran.verm,SBI Life,Standard P,20,2000000,21881,20241211,20300125,Spouse,Spouse,PUNE
LIPOL1000,Kiran Verm,19661231,F,IVVDW293,91732959,kiran.shar,HDFC Life,Standard P,10,1000000,39354,20230707,20320509,Spouse,Spouse,DELHI
LIPOL1000,Manoj Desi,19840118,M,HWUOU57,91892887,kiran.kulka,ICICI Lomb,Standard P,30,1000000,16717,20230113,20330507,Spouse,Spouse,DELHI
LIPOL1000,Kiran Shar,19771220,M,LUCIV7123,91977833,suresh.verr,HDFC Life,Standard P,30,500000,25395,20221115,20270119,Spouse,Spouse,CHENNAI
LIPOL1000,Suresh Ver,19760621,M,GXYYQ698,91732770,rahul.sharn,ICICI Lomb,Standard P,10,1000000,17182,20240124,20340915,Spouse,Spouse,DELHI
LIPOL1000,Rahul Shar,19890304,M,SCFRK528,91769523,amit.gupta,Tata AIG,Standard P,20,1000000,33583,20220210,20280319,Spouse,Spouse,BENGALURU
LIPOL1000,Amit Gupt,19761018,M,ACXLB398,91796669,vikas.desai,SBI Life,Standard P,30,1000000,29144,20220522,20260901,Spouse,Spouse,DELHI
LIPOL1000,Vikas Des,19840703,F,ZIWEE912,91816717,prakash.ku,Tata AIG,Standard P,10,1000000,32707,20240209,20301025,Spouse,Spouse,PUNE
LIPOL1000,Prakash K,19660528,M,WDLDG94,91726170,kiran.kulka,SBI Life,Standard P,10,1000000,23418,20230812,20270418,Spouse,Spouse,PUNE
LIPOL1000,Kiran Kulk,19780315,F,ZVCZ0345,91879277,vikas.kulka,SBI Life,Standard P,15,2000000,25016,20240211,20291009,Spouse,Spouse,BENGALURU
LIPOL1000,Vikas Kulk,19900419,F,ROXVX522,91862829,rohit.desai,Bajaj Allian,Standard P,20,500000,36147,20220629,20290726,Spouse,Spouse,BENGALURU
LIPOL1000,Rohit Desi,19941105,F,SMTC E391,91959791,amit.verm,Tata AIG,Standard P,15,2000000,8501,20220716,20340528,Spouse,Spouse,BENGALURU
LIPOL1000,Amit Verm,19651130,F,DMJQW74,91796013,suresh.meh,Bajaj Allian,Standard P,30,1000000,29989,20220820,20290613,Spouse,Spouse,BENGALURU
LIPOL1000,Suresh Meht,19751017,F,KRGVD617,91851868,vikas.sharn,ICICI Lomb,Standard P,30,2000000,20742,20230415,20250111,Spouse,Spouse,CHENNAI
LIPOL1000,Vikas Sharn,19770627,M,UONRN795,91797573,suresh.josh,ICICI Lomb,Standard P,10,500000,11427,20240429,20321201,Spouse,Spouse,PUNE
LIPOL1000,Suresh Josh,19760619,F,EBVNK716,91920002,prakash.pa,HDFC Life,Standard P,15,2000000,34640,20240120,20310828,Spouse,Spouse,HYDERABAD
LIPOL1000,Prakash Pat,19700321,M,FHATM797,91726632,anil.patil,Tata AIG,Standard P,10,1000000,10104,20240214,20250302,Spouse,Spouse,HYDERABAD
LIPOL1000,Anil Patil,19861102,F,OFAMV237,91904239,rohit.gupt,Bajaj Allian,Standard P,20,2000000,29117,20230511,20350411,Spouse,Spouse,CHENNAI
LIPOL1000,Rohit Gupt,19860318,F,MKNFV678,1813713,anil.kulkar,Bajaj Allian,Standard P,20,1000000,31003,20230507,20350806,Spouse,Spouse,HYDERABAD
LIPOL1000,Anil Kulkar,19821001,M,KIKKW868,91889166,vikas.kulka,Bajaj Allian,Standard P,25,2000000,30104,20231224,20291005,Spouse,Spouse,BENGALURU
LIPOL1000,Vikas Kulka,19740608,M,CUERF339,91940064,amit.gupta,ICICI Lomb,Standard P,15,2000000,31456,20240708,20340212,Spouse,Spouse,CHENNAI
LIPOL1000,Amit Gupt,19710620,M,QRKDQ882,91970459,suresh.gup,Tata AIG,Standard P,25,500000,29164,20241122,20270602,Spouse,Spouse,HYDERABAD
LIPOL1000,Suresh Gup,19750114,F,YVMDK146,91889804,anil.josh,HDFC Life,Standard P,30,500000,30112,20241012,20341113,Spouse,Spouse,DELHI
LIPOL1000,Anil Josh,19690609,F,VHLLA926,91761665,amit.josh,Tata AIG,Standard P,25,1000000,24321,20220329,20271003,Spouse,Spouse,MUMBAI
LIPOL1000,Amit Josh,19700327,F,FKDPA715,91983052,manoj.ver,HDFC Life,Standard P,25,500000,20644,20230330,20300722,Spouse,Spouse,PUNE
LIPOL1000,Manoj Verm,19930924,M,DAFUZ361,91984048,kiran.desai,HDFC Life,Standard P,30,1000000,12748,20230719,20270828,Spouse,Spouse,CHENNAI
LIPOL1000,Kiran Desai,19810226,F,ENPSE8293,1865132,nitin.verr,SBI Life,Standard P,20,2000000,31194,20240112,20271228,Spouse,Spouse,CHENNAI
LIPOL1000,Nitin Verm,19861010,F,YTPKZ2886,1944851,rohit.verm,Bajaj Allian,Standard P,30,500000,24600,20230318,20340615,Spouse,Spouse,BENGALURU
LIPOL1000,Rohit Verm,19840210,M,QBLEG424,1762468,rohit.verm,Tata AIG,Standard P,20,1000000,32921,20231012,20300105,Spouse,Spouse,MUMBAI
LIPOL1000,Rohit Verm,19871223,F,AHJVZ4678,1973723,amit.desai,SBI Life,Standard P,15,2000000,33984,20240115,20290824,Spouse,Spouse,HYDERABAD
LIPOL1000,Amit Desai,19750228,M,RSUVU564,1965886,anil.mehta,ICICI Lomb,Standard P,25,2000000,30617,20230722,20331125,Spouse,Spouse,HYDERABAD
LIPOL1000,Anil Mehta,19871223,F,PAIPZ2544,1867212,manoj.pati,Tata AIG,Standard P,10,1000000,9804,20240601,20260827,Spouse,Spouse,MUMBAI
LIPOL1000,Manoj Pati,19801228,M,NJEAL597,1823030,kiran.verm,HDFC Life,Standard P,25,1000000,15209,20221229,20300313,Spouse,Spouse,MUMBAI
LIPOL1000,Kiran Verm,19910429,M,HHLEY261,1812161,prakash.sh,SBI Life,Standard P,15,500000,9084,20240601,20350302,Spouse,Spouse,MUMBAI
LIPOL1000,Prakash Sh,19661102,F,STNOS394,1869206,kiran.verm,HDFC Life,Standard P,30,500000,37531,20220528,20340326,Spouse,Spouse,PUNE
LIPOL1000,Kiran Verm,19671014,F,EYLZO9947,1884749,rahul.desai,Bajaj Allian,Standard P,20,2000000,33620,20220728,20250315,Spouse,Spouse,CHENNAI
LIPOL1000,Rahul Desi,19970316,F,PUIEHB145,91905439,anil.gupta,Tata AIG,Standard P,15,2000000,29066,20220210,20320415,Spouse,Spouse,PUNE
LIPOL1000,Anil Gupta,19700807,F,DXSQH495,91867355,prakash.pa,HDFC Life,Standard P,25,500000,26505,20220224,20260323,Spouse,Spouse,BENGALURU
LIPOL1000,Prakash Pat,19851026,F,QCJRI6396,91722747,suresh.pati,Bajaj Allian,Standard P,20,2000000,17334,20220827,20311127,Spouse,Spouse,CHENNAI
LIPOL1000,Suresh Pati,19920705,M,YKMFJ759,91868476,anil.kulkar,ICICI Lomb,Standard P,10,2000000,33232,20221117,20310426,Spouse,Spouse,PUNE
LIPOL1000,Anil Kulkar,19710104,F,KHBIU885,91823579,rahul.josh,Bajaj Allian,Standard P,10,2000000,23323,20230702,20330901,Spouse,Spouse,MUMBAI
LIPOL1000,Rahul Josh,19740710,F,SKFGQ957,91798417,vikas.desai,HDFC Life,Standard P,15,2000000,18420,20231224,20310508,Spouse,Spouse,DELHI
LIPOL1000,Vikas Desi,19711124,M,EWVPP53,91733706,kiran.patil,SBI Life,Standard P,15,500000,9360,20241010,20300831,Spouse,Spouse,MUMBAI
LIPOL1000,Kiran Patil,19670805,M,UHMNC82,91908995,kiran.patil,HDFC Life,Standard P,30,2000000,35073,20240313,20270225,Spouse,Spouse,HYDERABAD
LIPOL1000,Kiran Patil,19990419,F,UFHPB407,91869330,suresh.shar,HDFC Life,Standard P,10,1000000,14367,20230302,20340305,Spouse,Spouse,HYDERABAD
LIPOL1000,Suresh Shai,19911113,M,DLWKS697,91773267,prakash.pa,HDFC Life,Standard P,25,1000000,34640,20240120,20310828,Spouse,Spouse,HYDERABAD
LIPOL1000,Prakash Gu,19850325,M,HZCJX353,1778053,rohit.sharn,Bajaj Allian,Standard P,10,2000000,17149,20230622,20290609,Spouse,Spouse,MUMBAI
LIPOL1000,Rohit Sharr,20000704,M,GAWOSS2,1961708,amit.meht,HDFC Life,Standard P,30,1000000,31699,20240227,20270820,Spouse,Spouse,BENGALURU
LIPOL1000,Amit Meht,19961206,F,DNCHT873,1831476,rohit.patil,Tata AIG,Standard P,25,2000000,25884,20231013,20300910,Spouse,Spouse,MUMBAI
LIPOL1000,Rohit Patil,19950919,M,XDEPC191,1811172,kiran.meht,HDFC Life,Standard P,20,2000000,39987,20220502,20290609,Spouse,Spouse,BENGALURU
LIPOL1000,Kiran Meht,19770707,F,WXZFV724,1860646,rohit.verm,Bajaj Allian,Standard P,30,1000000,17149,20230622,20290609,Spouse,Spouse,PUNE
LIPOL1000,Rohit Verm,19650710,F,HGOTH853,1885635,vikas.sharn,SBI Life,Standard P,20,1000000,31802,20241122,20260524,Spouse,Spouse,HYDERABAD
LIPOL1000,Vikas Sharn,19761116,F,ZAZHE983,1774294,manoj.pati,Bajaj Allian,Standard P,25,500000,15352,20221125,20300910,Spouse,Spouse,HYDERABAD
LIPOL1000,Manoj Pati,19940515,F,JQCAQ679,91793042,prakash.ku,SBI Life,Standard P,10,1000000,9444,20230725,20280221,Spouse,Spouse,HYDERABAD
LIPOL1000,Prakash Ku,19861209,M,LSLQ1984,91871467,amit.josh,Bajaj Allian,Standard P,20,500000,31802,20241122,20260524,Spouse,Spouse,DELHI
LIPOL1000,Amit Josh,19780103,F,OQVJG964,91709024,prakash.gu,HDFC Life,Standard P,25,1000000,15236,20221002,20290126,Spouse,Spouse,HYDERABAD
LIPOL1000,Prakash Gu,19771125,M,FQID A792,91795463,amit.josh,Tata AIG,Standard P,20,500000,28205,20241024,20340530,Spouse,Spouse,CHENNAI
LIPOL1000,Amit Josh,19650422,F,WHBYW46,91713489,prakash.de,SBI Life,Standard P,25,500000,23524,20230722,20290527,Spouse,Spouse,BENGALURU
LIPOL1000,Prakash De,19820714,M,PPLUR499,91713825,kiran.sharn,Bajaj Allian,Standard P,30,500000,11532,20240320,20301002,Spouse,Spouse,PUNE
LIPOL1000,Kiran Sharr,19810130,M,DZCKO602,1702889,manoj.meht,Tata AIG,Standard P,15,2000000,32601,20240224,20331205,Spouse,Spouse,BENGALURU
LIPOL1000,Manoj Meht,19840116,M,IOHCC493,1866490,amit.desai,SBI Life,Standard P,10,500000,24808,20230507,20351111,Spouse,Spouse,BENGALURU
LIPOL1000,Amit Mehta,19951018,M,TJYRX746,1788301,amit.desai,HDFC Life,Standard P,20,500000,11963,20231218,20321011,Spouse,Spouse,PUNE
LIPOL1000,Amit Desai,19780504,M,QCIHT315,91807733,kiran.kulka,HDFC Life,Standard P,10,500000,24489,20230225,20351026,Spouse,Spouse,DELHI
LIPOL1000,Kiran Kulka,19660126,M,THOX817,91906638,manoj.meht,SBI Life,Standard P,30,500000,19251,20230510,20320126,Spouse,Spouse,DELHI
LIPOL1000,Manoj Meht,19921203,F,IVPLK918,91718641,pati.sharn,Bajaj Allian,Standard P,20,2000000,35642,20230808,20341216,Spouse,Spouse,CHENNAI
LIPOL1000,Kiran Sharr,19861011,M,YWEOM97,91756176,vikas.sharn,SBI Life,Standard P,20,1000000,12087,20240630,20330314,Spouse,Spouse,DELHI
LIPOL1000,Vikas Sharn,19940914,F,KLNOI766,91818641,anil.gupta,Tata AIG,Standard P,30,1000000,37966,20231122,20280204,Spouse,Spouse,CHENNAI
LIPOL1000,Prakash Me,19750511,M,IAZTK819,91885906,suresh.meh,Bajaj Allian,Standard P,30,1000000,37707,20220323,20330128,Spouse,Spouse,HYDERABAD
LIPOL1000,Suresh Meht,19780201,F,VDZOK122,91993399,amit.gupta,Tata AIG,Standard P,15,2000000,36096,20231221,20300601,Spouse,Spouse,CHENNAI
LIPOL1000,Amit Gupta,19780303,F,-,-,-,SBI Life,Standard P,25,500000,30663,20231208,20280718,Spouse,Spouse,BENGALURU
